Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PARKLANE SHOPPING MALL,35 Selegie Road #04 -22,23,Strata,310000,13478,1252,15-Mar-19,Office,99 Yrs From 01/12/1974,Resale,7,18,188307,Central Region,Rochor
SUNSHINE PLAZA,91 Bencoolen Street #01 -67,19,Strata,800000,42105,3912,15-Mar-19,Retail,99 Yrs From 19/03/1997,Resale,7,18,189652,Central Region,Rochor
THE PLAZA,"7500A Beach Road #09 -301,302",202,Strata,2200000,10891,1012,15-Mar-19,Office,99 Yrs From 03/09/1968,Resale,7,19,199591,Central Region,Kallang
FOOK HAI BUILDING,150 South Bridge Road #02 -30,139,Strata,1700000,12230,1136,14-Mar-19,Office,99 Yrs From 18/01/1972,Resale,1,5,58727,Central Region,Outram
UPPER SERANGOON SHOPPING CENTRE,756 Upper Serangoon Road #02 -42,17,Strata,325000,19118,1776,12-Mar-19,Retail,Freehold,Resale,19,53,534626,North East Region,Hougang
HAVELOCK2,2 Havelock Road #04 -18,149,Strata,2786000,18698,1737,12-Mar-19,Office,99 Yrs From 04/05/1983,Resale,1,5,59763,Central Region,Singapore River
HAVELOCK2,2 Havelock Road #04 -17,59,Strata,1092000,18508,1719,12-Mar-19,Office,99 Yrs From 04/05/1983,Resale,1,5,59763,Central Region,Singapore River
THE GOLDEN LANDMARK,390 Victoria Street #02 -15,26,Strata,480000,18462,1715,12-Mar-19,Office,99 Yrs From 30/04/1981,Resale,7,18,188061,Central Region,Rochor
ORCHARD TOWERS,400 Orchard Road #04 -39,26,Strata,950000,36538,3395,12-Mar-19,Retail,Freehold,Resale,9,23,238875,Central Region,Orchard
PAYA LEBAR SQUARE,60 Paya Lebar Road #11 -11,51,Strata,1025000,20098,1867,11-Mar-19,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #10 -03,116,Strata,1530000,13190,1225,11-Mar-19,Office,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
ORCHARD PLAZA,150 Orchard Road #02 -04,25,Strata,868000,34720,3226,11-Mar-19,Retail,99 Yrs From 02/06/1977,Resale,9,23,238841,Central Region,Orchard
SUNSHINE PLAZA,91 Bencoolen Street #10 -03,102,Strata,1985000,19461,1808,11-Mar-19,Office,99 Yrs From 19/03/1997,Resale,7,18,189652,Central Region,Rochor
HIGH STREET PLAZA,77 High Street #09 -14,29,Strata,730000,25172,2339,8-Mar-19,Office,999 Yrs From 11/06/1827,Resale,6,17,179433,Central Region,Downtown Core
PAYA LEBAR SQUARE,60 Paya Lebar Road #10 -22,45,Strata,990000,22000,2044,8-Mar-19,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
THE CENTREPOINT,"176 Orchard Road #04 -08,09,10,11",343,Strata,10725000,31268,2905,8-Mar-19,Retail,99 Yrs From 17/08/1979,Resale,9,23,238843,Central Region,Orchard
N.A.,98 Desker Road,110,Land,2850000,25839,2400,8-Mar-19,Shop House,Freehold,Resale,8,20,209620,Central Region,Rochor
LIANG COURT,177 River Valley Road,41565,Strata,400000000,9623,894,7-Mar-19,Retail,97 Yrs From 02/04/1980,Resale,6,17,179030,Central Region,Singapore River
N.A.,25 Hoot Kiam Road,88,Strata,1500000,17045,1584,7-Mar-19,Office,Freehold,Resale,10,24,249407,Central Region,Tanglin
N.A.,800 Upper Serangoon Road,166,Land,1558000,9374,871,6-Mar-19,Shop House,Freehold,Resale,19,53,534670,North East Region,Hougang
TANGLIN SHOPPING CENTRE,19 Tanglin Road #03 -28,29,Strata,1030000,35517,3300,6-Mar-19,Retail,Freehold,Resale,10,24,247909,Central Region,Orchard
SBF CENTER,160 Robinson Road #16 -06,123,Strata,4300000,34959,3248,5-Mar-19,Office,99 Yrs From 21/12/2011,Resale,1,6,68914,Central Region,Downtown Core
