,Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Contract Date,Property Type,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Land Lease Expiry,Normalized Price,longitude,latitude
0,N.A.,11 Simon Road,130,Land,3080000,23620,28-Dec-18,Retail,Resale,19,54,545896,North East Region,Hougang,99999,,103.885903720292,1.36180981036714
1,N.A.,"115,117 Owen Road",315,Land,800000,2541,27-Dec-18,Shop House,Resale,8,21,218923,Central Region,Kallang,2058,,103.852779286283,1.31374584545811
2,THE PLAZA,7500A Beach Road #04 -310,29,Strata,362000,12483,27-Dec-18,Office,Resale,7,19,199591,Central Region,Kallang,2067,,103.860828918228,1.29977475328951
3,N.A.,36 Armenian Street #04 -02,149,Strata,3300000,22148,27-Dec-18,Office,Resale,6,17,179934,Central Region,Museum,2106,,103.849641821673,1.29402130654292
4,FAR EAST SHOPPING CENTRE,545 Orchard Road #03 -32,24,Strata,1010000,42083,27-Dec-18,Retail,Resale,9,23,238882,Central Region,Orchard,2870,,103.829984821742,1.30550610776289
5,LUCKY PLAZA,304 Orchard Road #01 -53,26,Strata,3000000,115385,26-Dec-18,Retail,Resale,9,23,238863,Central Region,Orchard,99999,,103.833961913093,1.30450609984441
6,BUKIT PASOH EXTNSN CONSTN AREA,29 Keong Saik Road,143,Land,16480000,115487,26-Dec-18,Shop House,Resale,2,8,89136,Central Region,Outram,99999,,-1,-1
7,ORCHID HOTEL,1 Tras Link #02 -13,16,Strata,502980,31436,26-Dec-18,Retail,Resale,2,7,78867,Central Region,Outram,2106,,-1,-1
8,THE CENTRAL,8 Eu Tong Sen Street #18 -92,82,Strata,2869750,34997,26-Dec-18,Office,Resale,1,5,59818,Central Region,Singapore River,2100,,103.770859150717,1.33486390029772
9,SULTAN PLAZA,100 Jalan Sultan #02 -44,49,Strata,738416,15070,21-Dec-18,Office,Resale,7,19,199001,Central Region,Kallang,2077,,103.861851786604,1.30294523520252
10,GOLDEN MILE TOWER,6001 Beach Road #02 -63,20,Strata,370000,18500,21-Dec-18,Retail,Resale,7,19,199589,Central Region,Kallang,2068,,103.864140679249,1.30189174683935
11,THE GOLDEN LANDMARK,390 Victoria Street #03 -04,33,Strata,750000,22727,21-Dec-18,Office,Resale,7,18,188061,Central Region,Rochor,2080,,103.857804288546,1.30197196437957
12,GRANDLINK SQUARE,511 Guillemard Road #01 -56,18,Strata,628000,34889,21-Dec-18,Retail,Resale,14,39,399849,Central Region,Geylang,99999,,103.891500511283,1.31419129803568
13,SIM LIM SQUARE,1 Rochor Canal Road #03 -27,38,Strata,860000,22632,21-Dec-18,Retail,Resale,7,18,188504,Central Region,Rochor,2082,,103.853037816787,1.30302427590084
14,PAYA LEBAR SQUARE,60 Paya Lebar Road #12 -40,47,Strata,1000000,21277,21-Dec-18,Office,Resale,14,40,409051,Central Region,Geylang,2110,,103.892580778514,1.31881487007652
15,HIGH STREET CENTRE,1 North Bridge Road #18 -03,51,Strata,960750,18838,21-Dec-18,Office,Resale,6,17,179094,Central Region,Downtown Core,2068,,103.84921712944,1.28998869553167
16,SULTAN PLAZA,100 Jalan Sultan #05 -40,33,Strata,532500,16136,20-Dec-18,Retail,Resale,7,19,199001,Central Region,Kallang,2077,,103.861851786604,1.30294523520252
17,HIGH STREET PLAZA,77 High Street #03 -06,72,Strata,1580000,21944,20-Dec-18,Office,Resale,6,17,179433,Central Region,Downtown Core,2826,,103.849358869172,1.29045407468311
18,ORCHARD TOWERS,400 Orchard Road #03 -04,30,Strata,1388000,46267,20-Dec-18,Retail,Resale,9,23,238875,Central Region,Orchard,99999,,103.82921413868,1.30697796554332
